year,month,title,author,publisher,image,date,genre,sales_count,score,sales
2024,1,해커스 보카 Hackers Vocabulary,David Cho (저),해커스어학연구소,https://image.yes24.com/goods/18410503/L,2025년 04월,#분철,115350.0,9.5,
2024,1,흔한남매 과학 탐험대 9 대기와 날씨,"흔한남매원 (저) / 김언정,이현진글 / 이태영,김덕영그림 외 4명정보 더 보기 / 감추기흔한남매김언정이현진이태영김덕영정현철김희목권경아최진수",주니어김영사,https://image.yes24.com/goods/123677562/L,2023년 12월,#유튜버,23724.0,9.9,
2024,1,파서블,김익한 (저),인플루엔셜,https://image.yes24.com/goods/123669027/L,2023년 11월,#세종도서교양부문선정도서,5712.0,9.8,
2024,1,지적 대화를 위한 넓고 얕은 지식 1,채사장 (저),웨일북,https://image.yes24.com/goods/86545658/L,2020년 02월,#뉴진스가읽은책,102207.0,9.3,
2024,1,2024 ADsP 데이터 분석 준전문가,윤종식 (저),데이터에듀,https://image.yes24.com/goods/124260678/L,2023년 12월,#ADsP,18324.0,9.7,
2024,1,퍼스널 MBA,"조시 카우프만 (저) / 박상진,이상호 (역)",진성북스,https://image.yes24.com/goods/124707232/L,2024년 01월,,26415.0,9.6,
2024,1,초등 미니 논술 일력 365,오현선 (저),서사원주니어,https://image.yes24.com/goods/123295559/L,2023년 11월,#일력,10992.0,9.8,
2024,1,불편한 편의점,김호연 (저),나무옆의자,https://image.yes24.com/goods/99308021/L,2021년 04월,#ReadWithMe_스타추천도서,122493.0,9.5,
2024,1,참을 수 없는 존재의 가벼움,밀란 쿤데라 (저) / 이재룡 (역),민음사,https://image.yes24.com/goods/61933303/L,2018년 06월,#알쓸인잡,73590.0,9.5,
2024,1,인간 실격,다자이 오사무 (저),민음사,https://image.yes24.com/goods/1387488/L,2004년 05월,#페이커가읽은책,114342.0,9.1,
2024,1,바다가 들리는 편의점 합본 (홀리데이 에디션),마치다 소노코 (저) / 황국영 (역),모모,https://image.yes24.com/goods/123878841/L,2023년 11월,#마음이따뜻해지는이야기,14214.0,9.8,
2024,1,[예스리커버] 사장학개론,김승호 (저),스노우폭스북스,https://image.yes24.com/goods/117958120/L,2023년 04월,#예스리커버,40299.0,9.2,
2024,1,제정신이라는 착각,필리프 슈테르처 (저) / 유영미 (역),김영사,https://image.yes24.com/goods/122541717/L,2023년 09월,#인간심리,9306.0,9.4,
2024,1,총 균 쇠,재레드 다이아몬드 (저) / 강주헌 (역),김영사,https://image.yes24.com/goods/118755085/L,2023년 05월,#교양쌓기,148911.0,9.8,
2024,1,작별하지 않는다,한강 (저),문학동네,https://image.yes24.com/goods/103495056/L,2021년 09월,#스트레이키즈현진이읽은책,1869996.0,9.6,
2024,1,최민준의 아들코칭 백과,최민준 (저),위즈덤하우스,https://image.yes24.com/goods/122103181/L,2023년 08월,#육아고수노하우,60480.0,9.9,
2024,1,이주하는 인류,샘 밀러 (저) / 최정숙 (역),미래의창,https://image.yes24.com/goods/120214783/L,2023년 07월,#이동진의올해의책,10401.0,9.6,
2024,1,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드 (저) / 토마스 산체스그림 / 박미경 (역),다산초당,https://image.yes24.com/goods/108850617/L,2024년 01월,#예스미츠에소개된책,72108.0,9.3,
2024,1,설민석의 한국사 대모험 27,"설민석,스토리박스글 / 정현희그림 / 강석화감수",단꿈아이,https://image.yes24.com/goods/123815181/L,2023년 11월,#초등한국사,12192.0,9.9,
2024,1,사피엔스,유발 하라리 (저) / 조현욱 (역) / 이태수감수,김영사,https://image.yes24.com/goods/23030284/L,2015년 11월,#페이커가읽은책,170769.0,9.5,
2024,1,그릿 (50만 부 판매 기념 리커버 골드에디션),앤절라 더크워스 (저) / 김미정 (역),비즈니스북스,https://image.yes24.com/goods/69622442/L,2019년 02월,#예스미츠에소개된책,77466.0,9.0,
2024,1,내면소통,김주환 (저),인플루엔셜,https://image.yes24.com/goods/117643865/L,2023년 02월,#유퀴즈온더블럭_자기님들,104850.0,9.6,
2024,1,고양이 해결사 깜냥 6,홍민정글 / 김재희그림,창비,https://image.yes24.com/goods/123180586/L,2023년 10월,#고양이소설,36639.0,9.8,
2024,1,영어 필사 100일의 기적,퍼포먼스 코치 리아 (저),넥서스,https://image.yes24.com/goods/104826605/L,2021년 11월,#영어필사,25575.0,9.1,
2024,1,손끝과 연연 9,모리시타 수글그림,학산문화사,https://image.yes24.com/goods/124472702/L,2024년 01월,#순정만화,3954.0,9.8,
2024,1,2024 시나공 정보처리기사 필기 기본서,길벗알앤디 (저),길벗,https://image.yes24.com/goods/123036227/L,2023년 10월,#분철,7824.0,10.0,
2024,1,우리 아이 미래를 바꿀 대한민국 교육 키워드7,"방종임,이만기 (저)",21세기북스,https://image.yes24.com/goods/124039064/L,2023년 12월,#엄마표학습,3096.0,9.6,
2024,1,어린 왕자 오리지널 초판본,앙투안 드 생텍쥐페리 (저) / 변광배해설 / 김수영 (역),코너스톤(도서),https://image.yes24.com/goods/93082287/L,2020년 09월,#기간한정특가,114294.0,9.8,
2024,1,설민석의 삼국지 대모험 15,단꿈아이글 / 스튜디오 담그림 / 남이담편,단꿈아이,https://image.yes24.com/goods/124300267/L,2023년 12월,#하룻밤에끝내는삼국지,6444.0,9.9,
2024,1,돌파매매 전략,"systrader79,김대현 (저)",이레미디어,https://image.yes24.com/goods/124203189/L,2024년 01월,#크레마클럽에있어요,12189.0,8.3,
2024,1,마법천자문 61,스튜디오 훈훈글 / 정수영그림 / 강용철감수,아울북,https://image.yes24.com/goods/124184042/L,2023년 12월,#한자공부,6186.0,9.8,
2024,1,잘되는 집들의 비밀,정희숙 (저),포레스트북스,https://image.yes24.com/goods/122753296/L,2023년 10월,#서탐대실,4242.0,9.0,
2024,1,예의 없는 친구들을 대하는 슬기로운 말하기 사전,김원아글 / 김소희그림,사계절,https://image.yes24.com/goods/105997192/L,2022년 01월,#독서지도안,16230.0,9.6,
2024,1,불편한 편의점 2,김호연 (저),나무옆의자,https://image.yes24.com/goods/111088149/L,2022년 08월,#크레마클럽에있어요,75792.0,9.5,
2024,1,김미경의 마흔 수업 확장판,김미경 (저),어웨이크북스,https://image.yes24.com/goods/123759749/L,2023년 11월,,12516.0,9.5,
